id,observations,common_name,scientific_name,genus,family,order
118970,873,Common Eastern Bumble Bee,Bombus impatiens,Bombus,Apidae,Hymenoptera
47219,576,Western Honey Bee,Apis mellifera,Apis,Apidae,Hymenoptera
120215,334,Brown-belted Bumble Bee,Bombus griseocollis,Bombus,Apidae,Hymenoptera
51110,290,Eastern Carpenter Bee,Xylocopa virginica,Xylocopa,Apidae,Hymenoptera
82523,97,Pure Green Sweat bee,Augochlora pura,Augochlora,Halictidae,Hymenoptera
52774,53,Golden Northern Bumble Bee,Bombus fervidus,Bombus,Apidae,Hymenoptera
82530,49,Bicolored Striped Sweat Bee,Agapostemon virescens,Agapostemon,Halictidae,Hymenoptera
154298,39,Ligated Furrow Bee,Halictus ligatus,Halictus,Halictidae,Hymenoptera
52785,39,Sculptured Resin Bee,Megachile sculpturalis,Megachile,Megachilidae,Hymenoptera
52779,36,Two-spotted Bumble Bee,Bombus bimaculatus,Bombus,Apidae,Hymenoptera
62453,32,European Woolcarder Bee,Anthidium manicatum,Anthidium,Megachilidae,Hymenoptera
198859,30,Lemon Cuckoo Bumble Bee,Bombus citrinus,Bombus,Apidae,Hymenoptera
567666,28,Two-spotted Longhorn Bee,Melissodes bimaculatus,Melissodes,Apidae,Hymenoptera
323048,15,Dark-winged Sweat Bee,Lasioglossum fuscipenne,Lasioglossum,Halictidae,Hymenoptera
135307,9,Hibiscus Turret Bee,Ptilothrix bombiformis,Ptilothrix,Apidae,Hymenoptera
199041,9,Unequal Cellophane Bee,Colletes inaequalis,Colletes,Colletidae,Hymenoptera
1426461,9,Black-and-yellow Nomad Bee,Nomada luteoloides,Nomada,Apidae,Hymenoptera
199001,9,Carlin's Mining Bee,Andrena carlini,Andrena,Andrenidae,Hymenoptera
198860,8,Spurred Ceratina,Ceratina calcarata,Ceratina,Apidae,Hymenoptera
487440,8,Rufous-backed Cellophane Bee,Colletes thoracicus,Colletes,Colletidae,Hymenoptera
199128,7,Texas Leafcutter Bee,Megachile texana,Megachile,Megachilidae,Hymenoptera
199048,7,Modest Masked Bee,Hylaeus modestus,Hylaeus,Colletidae,Hymenoptera
499394,7,European Small-Woolcarder,Pseudoanthidium nanum,Pseudoanthidium,Megachilidae,Hymenoptera
198958,5,Neighborly Mining Bee,Andrena vicina,Andrena,Andrenidae,Hymenoptera
199115,4,Confusing Furrow Bee,Halictus confusus,Halictus,Halictidae,Hymenoptera
1594041,4,Pruinose Squash Bee,Xenoglossa pruinosa,Xenoglossa,Apidae,Hymenoptera
198850,4,Pugnacious Leafcutter Bee,Megachile pugnata,Megachile,Megachilidae,Hymenoptera
335714,3,,Megachile apicalis,Megachile,Megachilidae,Hymenoptera
747130,3,Denticulate Longhorn Bee,Melissodes denticulatus,Melissodes,Apidae,Hymenoptera
1426460,2,Imbricate Cuckoo Nomad Bee,Nomada imbricata,Nomada,Apidae,Hymenoptera
134149,2,Dark-veined Longhorn Bee,Melissodes trinodis,Melissodes,Apidae,Hymenoptera
198973,2,Cloudy-winged Mining Bee,Andrena nubecula,Andrena,Andrenidae,Hymenoptera
127785,2,Wilke's Mining Bee,Andrena wilkella,Andrena,Andrenidae,Hymenoptera
198854,2,Orange-tipped Wood-digger,Anthophora terminalis,Anthophora,Apidae,Hymenoptera
198979,2,Miserable Mining Bee,Andrena miserabilis,Andrena,Andrenidae,Hymenoptera
1428143,2,Northeastern Sweat Bee,Augochloropsis viridula,Augochloropsis,Halictidae,Hymenoptera
198996,2,Spring Beauty Miner,Andrena erigeniae,Andrena,Andrenidae,Hymenoptera
199098,2,Bristle Sweat Bee,Lasioglossum imitatum,Lasioglossum,Halictidae,Hymenoptera
492993,2,Cherry Mining Bee,Andrena pruni,Andrena,Andrenidae,Hymenoptera
154682,2,Silky Striped Sweat Bee,Agapostemon sericeus,Agapostemon,Halictidae,Hymenoptera
198988,1,Orange-legged Miner Bee,Andrena hippotes,Andrena,Andrenidae,Hymenoptera
452976,1,,Sphecodes aroniae,Sphecodes,Halictidae,Hymenoptera
199011,1,Hawthorn Mining Bee,Andrena crataegi,Andrena,Andrenidae,Hymenoptera
155085,1,Perplexing Bumble Bee,Bombus perplexus,Bombus,Apidae,Hymenoptera
52783,1,Alfalfa Leafcutter Bee,Megachile rotundata,Megachile,Megachilidae,Hymenoptera
133766,1,Golden Sweat Bee,Augochlorella aurata,Augochlorella,Halictidae,Hymenoptera
452985,1,Bellflower Resin Bee,Megachile campanulae,Megachile,Megachilidae,Hymenoptera
226669,1,Georgia Mason Bee,Osmia georgica,Osmia,Megachilidae,Hymenoptera
125792,1,Oblong Woolcarder Bee,Anthidium oblongatum,Anthidium,Megachilidae,Hymenoptera
452938,1,Lunate Longhorn-cuckoo Bee,Triepeolus lunatus,Triepeolus,Apidae,Hymenoptera
452952,1,Broad-footed Cellophane Bee,Colletes latitarsis,Colletes,Colletidae,Hymenoptera
198991,1,Frigid Mining Bee,Andrena frigida,Andrena,Andrenidae,Hymenoptera
128670,1,Half-black Bumble Bee,Bombus vagans,Bombus,Apidae,Hymenoptera
461507,1,Taurus Mason Bee,Osmia taurus,Osmia,Megachilidae,Hymenoptera
198981,1,Milwaukee Mining Bee,Andrena milwaukeensis,Andrena,Andrenidae,Hymenoptera
199009,1,Cranesbill Miner,Andrena distans,Andrena,Andrenidae,Hymenoptera
452986,1,Mock-orange Scissor Bee,Chelostoma philadelphi,Chelostoma,Megachilidae,Hymenoptera
313243,1,Louisiana Painted-Dark bee,Stelis louisae,Stelis,Megachilidae,Hymenoptera
199131,1,Flat-tailed Leafcutter Bee,Megachile mendica,Megachile,Megachilidae,Hymenoptera
198987,1,Hairy-banded Mining Bee,Andrena hirticincta,Andrena,Andrenidae,Hymenoptera
452920,1,Nude Mining Bee,Andrena nuda,Andrena,Andrenidae,Hymenoptera
1426445,1,Articulated Nomad,Nomada articulata,Nomada,Apidae,Hymenoptera
199050,1,Slender-faced Masked Bee,Hylaeus leptocephalus,Hylaeus,Colletidae,Hymenoptera
199136,1,Frigid Leafcutter Bee,Megachile frigida,Megachile,Megachilidae,Hymenoptera
