Species,Observations
Bombus impatiens,3958
Apis mellifera,3270
Bombus griseocollis,2101
Xylocopa virginica,1044
Bombus fervidus,314
Anthidium manicatum,294
Melissodes bimaculatus,234
Megachile sculpturalis,226
Halictus ligatus,187
Bombus bimaculatus,182
Bombus citrinus,105
Megachile texana,101
Agapostemon virescens,100
Augochlora pura,91
Ptilothrix bombiformis,51
Melissodes trinodis,44
Melissodes denticulatus,38
Hylaeus modestus,35
Coelioxys octodentatus,33
Halictus confusus,29
Agapostemon sericeus,29
Triepeolus lunatus,28
Megachile mendica,26
Hylaeus leptocephalus,21
Habropoda laboriosa,16
Megachile pugnata,11
Colletes thoracicus,11
Andrena wilkella,10
Anthidium oblongatum,10
Megachile rotundata,10
Megachile frigida,8
Coelioxys sayi,6
Megachile apicalis,6
Anthophora terminalis,6
Pseudoanthidium nanum,6
Coelioxys coturnix,5
Xenoglossa pruinosa,5
Megachile centuncularis,5
Lasioglossum pectorale,4
Andrena hirticincta,4
Megachile campanulae,4
Andrena erigeniae,4
Ceratina calcarata,3
Andrena milwaukeensis,3
Stelis louisae,3
Dufourea novaeangliae,3
Lasioglossum imitatum,3
Hylaeus punctatus,3
Andrena vicina,3
Megachile inimica,2
Osmia cornifrons,2
Andrena miserabilis,2
Lasioglossum zephyrus,2
Colletes latitarsis,2
Andrena dunningi,2
Andrena nasonii,1
Augochlorella aurata,1
Hylaeus hyalinatus,1
Coelioxys alternatus,1
Lasioglossum coeruleum,1
Osmia taurus,1
Megachile exilis,1
Agapostemon splendens,1
Bombus pensylvanicus,1
Osmia lignaria,1
Lasioglossum quebecense,1
Chelostoma philadelphi,1
Andrena pruni,1
Melissodes agilis,1
Osmia georgica,1
Calliopsis andreniformis,1
Melissodes subillatus,1
Andrena nuda,1
Colletes inaequalis,1
Andrena imitatrix,1
Bombus perplexus,1
Osmia bucephala,1
Triepeolus remigatus,1
Megachile pusilla,1
Nomada placida,1
