Species,Observations
Branta canadensis,1124
Pandion haliaetus,1096
Larus smithsonianus,1009
Cygnus olor,986
Anas platyrhynchos,981
Turdus migratorius,971
Nannopterum auritum,915
Ardea alba,889
Meleagris gallopavo,863
Mimus polyglottos,777
Melospiza melodia,759
Dumetella carolinensis,671
Cardinalis cardinalis,641
Cyanocitta cristata,635
Larus marinus,609
Passer domesticus,607
Larus delawarensis,572
Zenaida macroura,563
Buteo jamaicensis,482
Leucophaeus atricilla,473
Agelaius phoeniceus,468
Dryobates pubescens,428
Charadrius melodus,426
Mergus serrator,416
Ardea herodias,408
Melanerpes carolinus,408
Clangula hyemalis,404
Calidris alba,400
Gavia immer,392
Poecile atricapillus,379
Zonotrichia albicollis,371
Haemorhous mexicanus,355
Quiscalus quiscula,349
Somateria mollissima,342
Haematopus palliatus,336
Sturnus vulgaris,323
Haliaeetus leucocephalus,314
Spinus tristis,311
Baeolophus bicolor,304
Thryothorus ludovicianus,304
Branta bernicla,285
Astur cooperii,272
Sterna hirundo,270
Hirundo rustica,258
Icterus galbula,255
Charadrius vociferus,254
Colaptes auratus,245
Molothrus ater,243
Junco hyemalis,240
Nycticorax nycticorax,228
Setophaga aestiva,223
Aix sponsa,219
Sternula antillarum,217
Spizella passerina,215
Sitta carolinensis,212
Charadrius semipalmatus,197
Anas rubripes,192
Tringa semipalmata,189
Pipilo erythrophthalmus,187
Tachycineta bicolor,183
Bucephala albeola,179
Setophaga coronata,177
Megaceryle alcyon,172
Egretta thula,166
Arenaria interpres,163
Lophodytes cucullatus,161
Aythya marila,154
Cathartes aura,152
Bubo virginianus,148
Sialia sialis,139
Melanitta deglandi,138
Pluvialis squatarola,137
Geothlypis trichas,135
Melanitta americana,135
Bombycilla cedrorum,133
Sayornis phoebe,128
Archilochus colubris,124
Mareca americana,124
Butorides virescens,123
Tringa melanoleuca,122
Tyrannus tyrannus,120
Actitis macularius,118
Mareca strepera,118
Larus fuscus,116
Melanitta perspicillata,111
Catharus guttatus,110
Calidris minutilla,110
Nyctanassa violacea,106
Morus bassanus,104
Leuconotopicus villosus,102
Gavia stellata,101
Plegadis falcinellus,100
Megascops asio,100
