ID,Observations,common_name,scientific_name,genus,family,order
81608,183,Atlantic Ribbed Mussel,Geukensia demissa,Geukensia,Mytilidae,Mytilida
47585,105,Eastern Oyster,Crassostrea virginica,Crassostrea,Ostreidae,Ostreida
81634,96,Soft-shelled Clam,Mya arenaria,Mya,Myidae,Myida
125758,51,Northern Quahog,Mercenaria mercenaria,Mercenaria,Veneridae,Venerida
64006,26,Asian Clam,Corbicula fluminea,Corbicula,Cyrenidae,Venerida
224289,16,Atlantic Macoma,Macoma petalum,Macoma,Tellinidae,Cardiida
151716,16,Eastern Floater,Pyganodon cataracta,Pyganodon,Unionidae,Unionida
1533987,13,Chestnut Clam,Isocrassina castanea,Isocrassina,Astartidae,Carditida
765132,13,Atlantic Jackknife,Ensis leei,Ensis,Pharidae,Adapedonta
117650,12,Blue Mussel,Mytilus edulis,Mytilus,Mytilidae,Mytilida
231421,10,West Atlantic Surfclam,Spisula solidissima,Spisula,Mactridae,Venerida
122039,9,Atlantic Bay Scallop,Argopecten irradians,Argopecten,Pectinidae,Pectinida
196326,6,Blood Ark,Lunarca ovalis,Lunarca,Arcidae,Arcida
548290,5,Northern Dwarf-tellin,Ameritella agilis,Ameritella,Tellinidae,Cardiida
227597,5,False Angelwing,Petricolaria pholadiformis,Petricolaria,Veneridae,Venerida
474253,4,Northern Cardita,Cyclocardia borealis,Cyclocardia,Carditidae,Carditida
55024,4,Common Jingle,Anomia simplex,Anomia,Anomiidae,Pectinida
292186,2,Dwarf Surfclam,Mulinia lateralis,Mulinia,Mactridae,Venerida
737928,1,Alewife Floater,Utterbackiana implicata,Utterbackiana,Unionidae,Unionida
224230,1,Glassy Lyonsia,Lyonsia hyalina,Lyonsia,Lyonsiidae,
193985,1,Common Pandora Clam,Pandora gouldiana,Pandora,Pandoridae,
461145,1,Cross-hatched Lucine,Divalinga quadrisulcata,Divalinga,Lucinidae,Lucinida
228389,1,Three-tooth Carditid,Pleuromeris tridentata,Pleuromeris,Carditidae,Carditida
81649,1,Amethyst Gem Clam,Gemma gemma,Gemma,Veneridae,Venerida
208898,1,Transverse Ark,Anadara transversa,Anadara,Arcidae,Arcida
