ID,Observations,common_name,scientific_name,genus,family,order
65979,305,American Bullfrog,Lithobates catesbeianus,Lithobates,Ranidae,Anura
27186,267,Eastern Red-backed Salamander,Plethodon cinereus,Plethodon,Plethodontidae,Caudata
27420,27,Northern Dusky Salamander,Desmognathus fuscus,Desmognathus,Plethodontidae,Caudata
64977,20,Fowler's Toad,Anaxyrus fowleri,Anaxyrus,Bufonidae,Anura
1668923,11,Gray Treefrog,Dryophytes versicolor,Dryophytes,Hylidae,Anura
65982,10,Green Frog,Lithobates clamitans,Lithobates,Ranidae,Anura
24382,3,Cuban Tree Frog,Osteopilus septentrionalis,Osteopilus,Hylidae,Anura
64968,2,American Toad,Anaxyrus americanus,Anaxyrus,Bufonidae,Anura
22631,2,Greenhouse Frog,Eleutherodactylus planirostris,Eleutherodactylus,Eleutherodactylidae,Anura
24268,2,Spring Peeper,Pseudacris crucifer,Pseudacris,Hylidae,Anura
