id,scientific_name,genus,family,order,obs_A,obs_B,obs_total
118970,Bombus impatiens,Bombus,Apidae,Hymenoptera,3993.0,873.0,4866.0
47219,Apis mellifera,Apis,Apidae,Hymenoptera,3328.0,576.0,3904.0
120215,Bombus griseocollis,Bombus,Apidae,Hymenoptera,2105.0,334.0,2439.0
51110,Xylocopa virginica,Xylocopa,Apidae,Hymenoptera,1059.0,290.0,1349.0
52774,Bombus fervidus,Bombus,Apidae,Hymenoptera,322.0,53.0,375.0
62453,Anthidium manicatum,Anthidium,Megachilidae,Hymenoptera,301.0,32.0,333.0
567666,Melissodes bimaculatus,Melissodes,Apidae,Hymenoptera,245.0,28.0,273.0
52785,Megachile sculpturalis,Megachile,Megachilidae,Hymenoptera,227.0,39.0,266.0
154298,Halictus ligatus,Halictus,Halictidae,Hymenoptera,193.0,39.0,232.0
52779,Bombus bimaculatus,Bombus,Apidae,Hymenoptera,182.0,36.0,218.0
82523,Augochlora pura,Augochlora,Halictidae,Hymenoptera,91.0,97.0,188.0
82530,Agapostemon virescens,Agapostemon,Halictidae,Hymenoptera,100.0,49.0,149.0
198859,Bombus citrinus,Bombus,Apidae,Hymenoptera,112.0,30.0,142.0
199128,Megachile texana,Megachile,Megachilidae,Hymenoptera,101.0,7.0,108.0
135307,Ptilothrix bombiformis,Ptilothrix,Apidae,Hymenoptera,58.0,9.0,67.0
134149,Melissodes trinodis,Melissodes,Apidae,Hymenoptera,49.0,2.0,51.0
747130,Melissodes denticulatus,Melissodes,Apidae,Hymenoptera,44.0,3.0,47.0
199048,Hylaeus modestus,Hylaeus,Colletidae,Hymenoptera,35.0,7.0,42.0
199115,Halictus confusus,Halictus,Halictidae,Hymenoptera,30.0,4.0,34.0
934230,Coelioxys octodentatus,Coelioxys,Megachilidae,Hymenoptera,33.0,0.0,33.0
154682,Agapostemon sericeus,Agapostemon,Halictidae,Hymenoptera,30.0,2.0,32.0
452938,Triepeolus lunatus,Triepeolus,Apidae,Hymenoptera,29.0,1.0,30.0
199131,Megachile mendica,Megachile,Megachilidae,Hymenoptera,26.0,1.0,27.0
199050,Hylaeus leptocephalus,Hylaeus,Colletidae,Hymenoptera,21.0,1.0,22.0
487440,Colletes thoracicus,Colletes,Colletidae,Hymenoptera,11.0,8.0,19.0
121510,Habropoda laboriosa,Habropoda,Apidae,Hymenoptera,16.0,0.0,16.0
323048,Lasioglossum fuscipenne,Lasioglossum,Halictidae,Hymenoptera,0.0,15.0,15.0
198850,Megachile pugnata,Megachile,Megachilidae,Hymenoptera,11.0,4.0,15.0
499394,Pseudoanthidium nanum,Pseudoanthidium,Megachilidae,Hymenoptera,6.0,7.0,13.0
125792,Anthidium oblongatum,Anthidium,Megachilidae,Hymenoptera,11.0,1.0,12.0
127785,Andrena wilkella,Andrena,Andrenidae,Hymenoptera,10.0,2.0,12.0
198860,Ceratina calcarata,Ceratina,Apidae,Hymenoptera,3.0,8.0,11.0
52783,Megachile rotundata,Megachile,Megachilidae,Hymenoptera,10.0,1.0,11.0
199041,Colletes inaequalis,Colletes,Colletidae,Hymenoptera,1.0,9.0,10.0
335714,Megachile apicalis,Megachile,Megachilidae,Hymenoptera,6.0,3.0,9.0
199136,Megachile frigida,Megachile,Megachilidae,Hymenoptera,8.0,1.0,9.0
199001,Andrena carlini,Andrena,Andrenidae,Hymenoptera,0.0,9.0,9.0
1426461,Nomada luteoloides,Nomada,Apidae,Hymenoptera,0.0,9.0,9.0
1594041,Xenoglossa pruinosa,Xenoglossa,Apidae,Hymenoptera,5.0,4.0,9.0
198854,Anthophora terminalis,Anthophora,Apidae,Hymenoptera,6.0,2.0,8.0
198958,Andrena vicina,Andrena,Andrenidae,Hymenoptera,3.0,5.0,8.0
198996,Andrena erigeniae,Andrena,Andrenidae,Hymenoptera,4.0,2.0,6.0
626643,Coelioxys sayi,Coelioxys,Megachilidae,Hymenoptera,6.0,0.0,6.0
198981,Andrena milwaukeensis,Andrena,Andrenidae,Hymenoptera,5.0,1.0,6.0
124406,Megachile centuncularis,Megachile,Megachilidae,Hymenoptera,6.0,0.0,6.0
199098,Lasioglossum imitatum,Lasioglossum,Halictidae,Hymenoptera,3.0,2.0,5.0
198987,Andrena hirticincta,Andrena,Andrenidae,Hymenoptera,4.0,1.0,5.0
309382,Megachile inimica,Megachile,Megachilidae,Hymenoptera,5.0,0.0,5.0
452985,Megachile campanulae,Megachile,Megachilidae,Hymenoptera,4.0,1.0,5.0
626593,Coelioxys coturnix,Coelioxys,Megachilidae,Hymenoptera,5.0,0.0,5.0
452952,Colletes latitarsis,Colletes,Colletidae,Hymenoptera,3.0,1.0,4.0
198979,Andrena miserabilis,Andrena,Andrenidae,Hymenoptera,2.0,2.0,4.0
313243,Stelis louisae,Stelis,Megachilidae,Hymenoptera,3.0,1.0,4.0
199089,Lasioglossum pectorale,Lasioglossum,Halictidae,Hymenoptera,4.0,0.0,4.0
492993,Andrena pruni,Andrena,Andrenidae,Hymenoptera,1.0,2.0,3.0
199116,Dufourea novaeangliae,Dufourea,Halictidae,Hymenoptera,3.0,0.0,3.0
459075,Hylaeus punctatus,Hylaeus,Colletidae,Hymenoptera,3.0,0.0,3.0
133766,Augochlorella aurata,Augochlorella,Halictidae,Hymenoptera,1.0,1.0,2.0
121508,Osmia cornifrons,Osmia,Megachilidae,Hymenoptera,2.0,0.0,2.0
155085,Bombus perplexus,Bombus,Apidae,Hymenoptera,1.0,1.0,2.0
1426460,Nomada imbricata,Nomada,Apidae,Hymenoptera,0.0,2.0,2.0
198997,Andrena dunningi,Andrena,Andrenidae,Hymenoptera,2.0,0.0,2.0
226669,Osmia georgica,Osmia,Megachilidae,Hymenoptera,1.0,1.0,2.0
198973,Andrena nubecula,Andrena,Andrenidae,Hymenoptera,0.0,2.0,2.0
905961,Lasioglossum zephyrus,Lasioglossum,Halictidae,Hymenoptera,2.0,0.0,2.0
452986,Chelostoma philadelphi,Chelostoma,Megachilidae,Hymenoptera,1.0,1.0,2.0
452920,Andrena nuda,Andrena,Andrenidae,Hymenoptera,1.0,1.0,2.0
461507,Osmia taurus,Osmia,Megachilidae,Hymenoptera,1.0,1.0,2.0
1428143,Augochloropsis viridula,Augochloropsis,Halictidae,Hymenoptera,0.0,2.0,2.0
121507,Osmia lignaria,Osmia,Megachilidae,Hymenoptera,1.0,0.0,1.0
128670,Bombus vagans,Bombus,Apidae,Hymenoptera,0.0,1.0,1.0
52780,Melissodes agilis,Melissodes,Apidae,Hymenoptera,1.0,0.0,1.0
56887,Bombus pensylvanicus,Bombus,Apidae,Hymenoptera,1.0,0.0,1.0
198991,Andrena frigida,Andrena,Andrenidae,Hymenoptera,0.0,1.0,1.0
198986,Andrena imitatrix,Andrena,Andrenidae,Hymenoptera,1.0,0.0,1.0
198952,Calliopsis andreniformis,Calliopsis,Andrenidae,Hymenoptera,1.0,0.0,1.0
198977,Andrena nasonii,Andrena,Andrenidae,Hymenoptera,1.0,0.0,1.0
