ID,Observations,common_name,scientific_name,genus,family,order
118970,3993,Common Eastern Bumble Bee,Bombus impatiens,Bombus,Apidae,Hymenoptera
47219,3328,Western Honey Bee,Apis mellifera,Apis,Apidae,Hymenoptera
120215,2105,Brown-belted Bumble Bee,Bombus griseocollis,Bombus,Apidae,Hymenoptera
51110,1059,Eastern Carpenter Bee,Xylocopa virginica,Xylocopa,Apidae,Hymenoptera
52774,322,Golden Northern Bumble Bee,Bombus fervidus,Bombus,Apidae,Hymenoptera
62453,301,European Woolcarder Bee,Anthidium manicatum,Anthidium,Megachilidae,Hymenoptera
567666,245,Two-spotted Longhorn Bee,Melissodes bimaculatus,Melissodes,Apidae,Hymenoptera
52785,227,Sculptured Resin Bee,Megachile sculpturalis,Megachile,Megachilidae,Hymenoptera
154298,193,Ligated Furrow Bee,Halictus ligatus,Halictus,Halictidae,Hymenoptera
52779,182,Two-spotted Bumble Bee,Bombus bimaculatus,Bombus,Apidae,Hymenoptera
198859,112,Lemon Cuckoo Bumble Bee,Bombus citrinus,Bombus,Apidae,Hymenoptera
199128,101,Texas Leafcutter Bee,Megachile texana,Megachile,Megachilidae,Hymenoptera
82530,100,Bicolored Striped Sweat Bee,Agapostemon virescens,Agapostemon,Halictidae,Hymenoptera
82523,91,Pure Green Sweat bee,Augochlora pura,Augochlora,Halictidae,Hymenoptera
135307,58,Hibiscus Turret Bee,Ptilothrix bombiformis,Ptilothrix,Apidae,Hymenoptera
134149,49,Dark-veined Longhorn Bee,Melissodes trinodis,Melissodes,Apidae,Hymenoptera
747130,44,Denticulate Longhorn Bee,Melissodes denticulatus,Melissodes,Apidae,Hymenoptera
199048,35,Modest Masked Bee,Hylaeus modestus,Hylaeus,Colletidae,Hymenoptera
934230,33,Eight-toothed Cuckoo Leaf-cutter Bee,Coelioxys octodentatus,Coelioxys,Megachilidae,Hymenoptera
199115,30,Confusing Furrow Bee,Halictus confusus,Halictus,Halictidae,Hymenoptera
154682,30,Silky Striped Sweat Bee,Agapostemon sericeus,Agapostemon,Halictidae,Hymenoptera
452938,29,Lunate Longhorn-cuckoo Bee,Triepeolus lunatus,Triepeolus,Apidae,Hymenoptera
199131,26,Flat-tailed Leafcutter Bee,Megachile mendica,Megachile,Megachilidae,Hymenoptera
199050,21,Slender-faced Masked Bee,Hylaeus leptocephalus,Hylaeus,Colletidae,Hymenoptera
121510,16,Blueberry Digger Bee,Habropoda laboriosa,Habropoda,Apidae,Hymenoptera
487440,11,Rufous-backed Cellophane Bee,Colletes thoracicus,Colletes,Colletidae,Hymenoptera
198850,11,Pugnacious Leafcutter Bee,Megachile pugnata,Megachile,Megachilidae,Hymenoptera
