ID,Observations,common_name,scientific_name,genus,family,order
52785,227,Sculptured Resin Bee,Megachile sculpturalis,Megachile,Megachilidae,Hymenoptera
199128,101,Texas Leafcutter Bee,Megachile texana,Megachile,Megachilidae,Hymenoptera
199131,26,Flat-tailed Leafcutter Bee,Megachile mendica,Megachile,Megachilidae,Hymenoptera
198850,11,Pugnacious Leafcutter Bee,Megachile pugnata,Megachile,Megachilidae,Hymenoptera
52783,10,Alfalfa Leafcutter Bee,Megachile rotundata,Megachile,Megachilidae,Hymenoptera
199136,8,Frigid Leafcutter Bee,Megachile frigida,Megachile,Megachilidae,Hymenoptera
124406,6,Patchwork Leafcutter Bee,Megachile centuncularis,Megachile,Megachilidae,Hymenoptera
335714,6,,Megachile apicalis,Megachile,Megachilidae,Hymenoptera
309382,5,,Megachile inimica,Megachile,Megachilidae,Hymenoptera
452985,4,Bellflower Resin Bee,Megachile campanulae,Megachile,Megachilidae,Hymenoptera
308807,1,,Megachile exilis,Megachile,Megachilidae,Hymenoptera
433922,1,,Megachile pusilla,Megachile,Megachilidae,Hymenoptera
