Species,Observations
Podarcis siculus,239
Trachemys scripta,175
Chelydra serpentina,163
Malaclemys terrapin,101
Thamnophis sirtalis,74
Heterodon platirhinos,59
Storeria dekayi,38
Chrysemys picta,31
Lampropeltis triangulum,18
Pseudemys rubriventris,7
Pelodiscus sinensis,4
Caretta caretta,3
Lepidochelys kempii,3
Diadophis punctatus,3
Anolis sagrei,3
Anolis carolinensis,2
Pseudemys nelsoni,2
Terrapene triunguis,1
Sternotherus odoratus,1
Terrapene carolina,1
Chelonia mydas,1
Pseudemys concinna,1
Alligator mississippiensis,1
Centrochelys sulcata,1
Opheodrys vernalis,1
