ID,Observations,common_name,scientific_name,genus,family,order
337045,239,Italian Wall Lizard,Podarcis siculus,Podarcis,Lacertidae,Squamata
39782,175,Pond Slider,Trachemys scripta,Trachemys,Emydidae,Testudines
39682,164,Common Snapping Turtle,Chelydra serpentina,Chelydra,Chelydridae,Testudines
39836,101,Diamondback Terrapin,Malaclemys terrapin,Malaclemys,Emydidae,Testudines
28362,74,Common Garter Snake,Thamnophis sirtalis,Thamnophis,Colubridae,Squamata
29925,59,Eastern Hognose Snake,Heterodon platirhinos,Heterodon,Colubridae,Squamata
28562,38,DeKay's Brownsnake,Storeria dekayi,Storeria,Colubridae,Squamata
39771,31,Painted Turtle,Chrysemys picta,Chrysemys,Emydidae,Testudines
515419,18,Eastern Milksnake,Lampropeltis triangulum,Lampropeltis,Colubridae,Squamata
39826,7,Northern Red-bellied Cooter,Pseudemys rubriventris,Pseudemys,Emydidae,Testudines
68334,4,Chinese Softshell Turtle,Pelodiscus sinensis,Pelodiscus,Trionychidae,Testudines
39665,3,Loggerhead Sea Turtle,Caretta caretta,Caretta,Cheloniidae,Testudines
73844,3,Kemp's Ridley Sea Turtle,Lepidochelys kempii,Lepidochelys,Cheloniidae,Testudines
26575,3,Ring-necked Snake,Diadophis punctatus,Diadophis,Colubridae,Squamata
116461,3,Brown Anole,Anolis sagrei,Anolis,Anolidae,Squamata
36514,2,Green Anole,Anolis carolinensis,Anolis,Anolidae,Squamata
39824,2,Florida Red-bellied Cooter,Pseudemys nelsoni,Pseudemys,Emydidae,Testudines
1544605,1,Three-toed Box Turtle,Terrapene triunguis,Terrapene,Emydidae,Testudines
39703,1,Eastern Musk Turtle,Sternotherus odoratus,Sternotherus,Kinosternidae,Testudines
39814,1,Common Box Turtle,Terrapene carolina,Terrapene,Emydidae,Testudines
39659,1,Green Sea Turtle,Chelonia mydas,Chelonia,Cheloniidae,Testudines
39830,1,River Cooter,Pseudemys concinna,Pseudemys,Emydidae,Testudines
26159,1,American Alligator,Alligator mississippiensis,Alligator,Alligatoridae,Crocodylia
40089,1,African Spurred Tortoise,Centrochelys sulcata,Centrochelys,Testudinidae,Testudines
146314,1,Smooth Greensnake,Opheodrys vernalis,Opheodrys,Colubridae,Squamata
