site,address,method,date,start,end,mean_temp,mean_rhum,max_wspd,total_prcp,notes
Drew,"1070 E Tremont Ave, Bronx, NY",net,5/19/2026,9:10,9:40,22.5,72,5,0,
River,"1086 E 180th St, Bronx, NY",net,5/19/2026,10:17,10:47,24.2,71,9,0,
Hornaday,"851 Hornaday Pl, Bronx, NY",net,5/19/2026,11:14,11:44,25.8,67.5,9,0,
Drew,"1070 E Tremont Ave, Bronx, NY",net,5/19/2026,13:15,13:45,29.2,56,8,0,
River,"1086 E 180th St, Bronx, NY",net,5/19/2026,14:00,14:30,30,53,8,0,
Hornaday,"851 Hornaday Pl, Bronx, NY",net,5/19/2026,14:54,15:24,32.2,45,11,0,
Clayton,"303 W 126th St, New York, NY",bowl,5/29/2026,9:25,10:05,19,52.4,13,0,
Luigi,"227 W 115th St, New York, NY",bowl,5/29/2026,10:05,10:35,18.8,52.8,13,0,
ELG,"237 W 111th St, New York, NY",bowl,5/29/2026,10:35,10:58,18.8,52.7,13,0,
Peaceful,"52 E 117th St, New York, NY",bowl,5/29/2026,11:05,11:30,18.7,53,13,0,sick baby rat. Mistaken for Tom. Several dead rats next day
Lydia,"1665 Park Ave, New York, NY",bowl,5/29/2026,11:20,11:47,18.7,53,13,0,met Alicia. 
Gallo,"1891 Lexington Ave, New York, NY",bowl,5/29/2026,11:35,12:00,18.7,53,13,0,friendly cat. Lady who wanted Roses. Other woman who wanted to come in
Drew,"1070 E Tremont Ave, Bronx, NY",bowl,5/29/2026,15:28,13:25,18.7,53.4,16,0,friendly ducks and goose family
River,"1086 E 180th St, Bronx, NY",bowl,5/29/2026,16:00,14:10,18.6,53.3,16,0,crazy ant colony
Hornaday,"851 Hornaday Pl, Bronx, NY",bowl,5/29/2026,16:30,14:30,18.6,53.3,16,0,
Happiness,2160 Prospect Avenue,bowl,5/29/2026,16:55,14:55,18.5,52.7,16,0,kitten and boy who wanted a flower
Oasis,"1981 Lafontaine Ave, Bronx, NY",bowl,5/29/2026,17:35,15:25,18.4,52.5,16,0,"chickens being picked off by raccoon, they say? Told to watch ""The Beekeeper"""
Clayton,"303 W 126th St, New York, NY",net,6/2/2026,9:00,21:37,20.2,44.9,11,0,woman gawking at cherry tree. Guy peeing on sidewalk
Luigi,"227 W 115th St, New York, NY",net,6/2/2026,10:07,22:38,20.9,41.6,11,0,saw a ground-nesting bee dig into soil in a raised bed!
ELG,"237 W 111th St, New York, NY",net,6/2/2026,10:57,11:45,15,69,5,0,talked to Meredith. Saw cute baby blue jay
Clayton,"303 W 126th St, New York, NY",net,6/2/2026,13:20,14:00,20,42.5,6,0,Marva present
Luigi,"227 W 115th St, New York, NY",net,6/2/2026,14:30,15:03,22,34.5,3,0,
ELG,"237 W 111th St, New York, NY",net,6/2/2026,15:19,15:56,23.4,32.5,11,0,
Happiness,2160 Prospect Avenue,net,6/4/2026,8:36,9:24,19.4,42,0,0,"on bus, heckled by a man for being white. ""You're in the wrong neighborhood. You've got five boroughs"". Black man with MAGA hat. Said that Trump was black (?) and disparaged Mamdani. Would've been frightened if he was not in a wheelchair. Experience at the garden itself was lovely. Used Google translate to help talk to members. A child, Andres, ""helped me"" with catching bees (but I was a good sport about it!)"
BLF,"2485 Belmont Ave, Bronx, NY",net,6/4/2026,9:54,10:32,19.8,50.5,0,0,We're in! Used translate to speak with Aida. I'm free to come by whenever the garden is open.
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,6/4/2026,10:57,11:34,21.4,46.5,0,0,Present for a shipment of mulch/soil (from GreenThumb?)
Happiness,2160 Prospect Avenue,net,6/4/2026,12:26,13:00,23,45.5,5,0,
BLF,"2485 Belmont Ave, Bronx, NY",net,6/4/2026,13:26,14:02,24.8,41,5,0,
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,6/4/2026,14:40,15:15,27.2,28,5,0,"Talked to Winston, the beekeeper."
Gallo,"1891 Lexington Ave, New York, NY",net,6/8/2026,9:25,10:05,17.5,62.5,10,0,
Peaceful,"52 E 117th St, New York, NY",net,6/8/2026,10:09,10:45,18,59,10,0,
Lydia,"1665 Park Ave, New York, NY",net,6/8/2026,10:52,11:30,18.8,53.5,10,0,helped Alicia measure the pollinator garden
