site,address,latitude,longitude
BLF,"2485 Belmont Ave, Bronx, NY",40.8569275,-73.8845774
Oasis,"1981 Lafontaine Ave, Bronx, NY",40.8470844,-73.8941019
River,"1086 E 180th St, Bronx, NY",40.8423971,-73.8777339
Happiness,"2160 Prospect Avenue, Bronx, NY",40.8486864,-73.8852019
Drew,"1070 E Tremont Ave, Bronx, NY",40.8401204,-73.8794189
Hornaday,"851 Hornaday Pl, Bronx, NY",40.8470962,-73.8824615
Batey,"504 E 178th St, Bronx, NY",40.8476714,-73.8954192
Krystal,"2093 Vyse Ave, Bronx, NY",40.8437175,-73.8807639
Clayton,"303 W 126th St, New York, NY",40.810995,-73.9508173
Peaceful,"52 E 117th St, New York, NY",40.800251,-73.9436015
Gallo,"1891 Lexington Ave, New York, NY",40.7996164,-73.9407708
Carrie,"145 St. Nicholas Ave, New York, NY",40.7050285,-73.9170309
ELG,"237 W 111th St, New York, NY",40.8005601,-73.9558827
Luigi,"227 W 115th St, New York, NY",40.8029542,-73.9537925
West123,"116 W 123rd St, New York, NY",40.8066332,-73.9470505
Lydia,"1665 Park Ave, New York, NY",40.8002166,-73.9424496
