site,address,method,date,start,end
Drew,"1070 E Tremont Ave, Bronx, NY",net,2026-05-19,9:10,9:40
River,"1086 E 180th St, Bronx, NY",net,2026-05-19,10:17,10:47
Hornaday,"851 Hornaday Pl, Bronx, NY",net,2026-05-19,11:14,11:44
Drew,"1070 E Tremont Ave, Bronx, NY",net,2026-05-19,13:15,13:45
River,"1086 E 180th St, Bronx, NY",net,2026-05-19,14:00,14:30
Hornaday,"851 Hornaday Pl, Bronx, NY",net,2026-05-19,14:54,15:24
Clayton,"303 W 126th St, New York, NY",net,2026-06-02,9:00,21:37
Luigi,"227 W 115th St, New York, NY",net,2026-06-02,10:07,22:38
ELG,"237 W 111th St, New York, NY",net,2026-06-02,10:57,11:45
Clayton,"303 W 126th St, New York, NY",net,2026-06-02,13:20,14:00
Luigi,"227 W 115th St, New York, NY",net,2026-06-02,14:30,15:03
ELG,"237 W 111th St, New York, NY",net,2026-06-02,15:19,15:56
Happiness,2160 Prospect Avenue,net,2026-06-04,8:36,9:24
BLF,"2485 Belmont Ave, Bronx, NY",net,2026-06-04,9:54,10:32
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,2026-06-04,10:57,11:34
Happiness,2160 Prospect Avenue,net,2026-06-04,12:26,13:00
BLF,"2485 Belmont Ave, Bronx, NY",net,2026-06-04,13:26,14:02
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,2026-06-04,14:40,15:15
Gallo,"1891 Lexington Ave, New York, NY",net,2026-06-08,9:25,10:05
Peaceful,"52 E 117th St, New York, NY",net,2026-06-08,10:09,10:45
Lydia,"1665 Park Ave, New York, NY",net,2026-06-08,10:52,11:30
Gallo,"1891 Lexington Ave, New York, NY",net,2026-06-08,12:35,13:10
Peaceful,"52 E 117th St, New York, NY",net,2026-06-08,13:25,14:00
Lydia,"1665 Park Ave, New York, NY",net,2026-06-08,14:08,14:42
River,"1086 E 180th St, Bronx, NY",net,2026-06-24,9:25,10:00
Hornaday,"851 Hornaday Pl, Bronx, NY",net,2026-06-24,10:25,11:02
Krystal,"2093 Vyse Ave, Bronx, NY",net,2026-06-24,11:50,12:30
River,"1086 E 180th St, Bronx, NY",net,2026-06-24,13:01,13:36
Hornaday,"851 Hornaday Pl, Bronx, NY",net,2026-06-24,14:10,14:40
Krystal,"2093 Vyse Ave, Bronx, NY",net,2026-06-24,14:48,15:28
Batey,"504 E 178th St, Bronx, NY",net,2026-06-25,8:15,8:51
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,2026-06-25,8:55,9:32
Happiness,2160 Prospect Avenue,net,2026-06-25,9:50,10:25
Batey,"504 E 178th St, Bronx, NY",net,2026-06-25,11:50,12:27
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,2026-06-25,12:55,13:30
Happiness,2160 Prospect Avenue,net,2026-06-25,13:45,14:20
West123,"116 W 123rd St, New York, NY",net,2026-06-30,9:25,10:00
ELG,"237 W 111th St, New York, NY",net,2026-06-30,10:27,11:03
Clayton,"303 W 126th St, New York, NY",net,2026-06-30,11:26,12:02
West123,"116 W 123rd St, New York, NY",net,2026-06-30,13:25,14:00
ELG,"237 W 111th St, New York, NY",net,2026-06-30,14:35,15:15
Clayton,"303 W 126th St, New York, NY",net,2026-06-30,16:15,16:45
Luigi,"227 W 115th St, New York, NY",net,2026-07-08,8:36,9:10
Peaceful,"52 E 117th St, New York, NY",net,2026-07-08,9:30,10:01
