site,address,method,date,start,end
Drew,"1070 E Tremont Ave, Bronx, NY",net,5/19/2026,9:10,9:40
River,"1086 E 180th St, Bronx, NY",net,5/19/2026,10:17,10:47
Hornaday,"851 Hornaday Pl, Bronx, NY",net,5/19/2026,11:14,11:44
Drew,"1070 E Tremont Ave, Bronx, NY",net,5/19/2026,13:15,13:45
River,"1086 E 180th St, Bronx, NY",net,5/19/2026,14:00,14:30
Hornaday,"851 Hornaday Pl, Bronx, NY",net,5/19/2026,14:54,15:24
Clayton,"303 W 126th St, New York, NY",bowl,5/29/2026,9:25,10:05
Luigi,"227 W 115th St, New York, NY",bowl,5/29/2026,10:05,10:35
ELG,"237 W 111th St, New York, NY",bowl,5/29/2026,10:35,10:58
Peaceful,"52 E 117th St, New York, NY",bowl,5/29/2026,11:05,11:30
Lydia,"1665 Park Ave, New York, NY",bowl,5/29/2026,11:20,11:47
Gallo,"1891 Lexington Ave, New York, NY",bowl,5/29/2026,11:35,12:00
Drew,"1070 E Tremont Ave, Bronx, NY",bowl,5/29/2026,15:28,13:25
River,"1086 E 180th St, Bronx, NY",bowl,5/29/2026,16:00,14:10
Hornaday,"851 Hornaday Pl, Bronx, NY",bowl,5/29/2026,16:30,14:30
Happiness,"2160 Prospect Avenue, Bronx, NY",bowl,5/29/2026,16:55,14:55
Oasis,"1981 Lafontaine Ave, Bronx, NY",bowl,5/29/2026,17:35,15:25
Clayton,"303 W 126th St, New York, NY",net,6/2/2026,9:00,21:37
Luigi,"227 W 115th St, New York, NY",net,6/2/2026,10:07,22:38
ELG,"237 W 111th St, New York, NY",net,6/2/2026,10:57,11:45
Clayton,"303 W 126th St, New York, NY",net,6/2/2026,13:20,14:00
Luigi,"227 W 115th St, New York, NY",net,6/2/2026,14:30,15:03
ELG,"237 W 111th St, New York, NY",net,6/2/2026,15:19,15:56
Happiness,"2160 Prospect Avenue, Bronx, NY",net,6/4/2026,8:36,9:24
BLF,"2485 Belmont Ave, Bronx, NY",net,6/4/2026,9:54,10:32
