site,address,method,date,start,end,start_dt,end_dt,weather_start_dt,latitude,longitude,station
Krystal,"2093 Vyse Ave, Bronx, NY",net,8/10/2026,9:48,10:26,2026-08-10 09:48:00,2026-08-10 10:26:00,2026-08-10 09:48:00,40.8437175,-73.8807639,72503
River,"1086 E 180th St, Bronx, NY",net,8/10/2026,10:40,11:20,2026-08-10 10:40:00,2026-08-10 11:20:00,2026-08-10 10:40:00,40.8423971,-73.8777339,72503
Drew,"1070 E Tremont Ave, Bronx, NY",net,8/10/2026,12:41,13:18,2026-08-10 12:41:00,2026-08-10 13:18:00,2026-08-10 12:41:00,40.8401204,-73.8794189,72503
Krystal,"2093 Vyse Ave, Bronx, NY",net,8/10/2026,14:25,14:58,2026-08-10 14:25:00,2026-08-10 14:58:00,2026-08-10 14:25:00,40.8437175,-73.8807639,72503
River,"1086 E 180th St, Bronx, NY",net,8/10/2026,15:04,15:39,2026-08-10 15:04:00,2026-08-10 15:39:00,2026-08-10 15:04:00,40.8423971,-73.8777339,72503
Drew,"1070 E Tremont Ave, Bronx, NY",net,8/10/2026,15:45,16:19,2026-08-10 15:45:00,2026-08-10 16:19:00,2026-08-10 15:45:00,40.8401204,-73.8794189,72503
Hornaday,"851 Hornaday Pl, Bronx, NY",net,8/11/2026,8:58,9:33,2026-08-11 08:58:00,2026-08-11 09:33:00,2026-08-11 08:58:00,40.8470962,-73.8824615,72503
Happiness,"2160 Prospect Avenue, Bronx, NY",net,8/11/2026,9:43,10:16,2026-08-11 09:43:00,2026-08-11 10:16:00,2026-08-11 09:43:00,40.8486864,-73.8852019,72503
BLF,"2485 Belmont Ave, Bronx, NY",net,8/11/2026,10:42,11:20,2026-08-11 10:42:00,2026-08-11 11:20:00,2026-08-11 10:42:00,40.8569275,-73.8845774,72503
Hornaday,"851 Hornaday Pl, Bronx, NY",net,8/11/2026,12:36,13:13,2026-08-11 12:36:00,2026-08-11 13:13:00,2026-08-11 12:36:00,40.8470962,-73.8824615,72503
Happiness,"2160 Prospect Avenue, Bronx, NY",net,8/11/2026,13:50,14:23,2026-08-11 13:50:00,2026-08-11 14:23:00,2026-08-11 13:50:00,40.8486864,-73.8852019,72503
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,8/12/2026,9:30,10:05,2026-08-12 09:30:00,2026-08-12 10:05:00,2026-08-12 09:30:00,40.8470844,-73.8941019,72503
Batey,"504 E 178th St, Bronx, NY",net,8/12/2026,10:20,10:56,2026-08-12 10:20:00,2026-08-12 10:56:00,2026-08-12 10:20:00,40.8476714,-73.8954192,72503
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,8/12/2026,13:04,13:38,2026-08-12 13:04:00,2026-08-12 13:38:00,2026-08-12 13:04:00,40.8470844,-73.8941019,72503
Batey,"504 E 178th St, Bronx, NY",net,8/12/2026,13:57,14:32,2026-08-12 13:57:00,2026-08-12 14:32:00,2026-08-12 13:57:00,40.8476714,-73.8954192,72503
Lydia,"1665 Park Ave, New York, NY",net,8/14/2026,8:59,9:33,2026-08-14 08:59:00,2026-08-14 09:33:00,2026-08-14 08:59:00,40.8001382,-73.9425066,KNYC0
Peaceful,"52 E 117th St, New York, NY",net,8/14/2026,9:50,10:22,2026-08-14 09:50:00,2026-08-14 10:22:00,2026-08-14 09:50:00,40.800251,-73.9436015,KNYC0
Gallo,"1891 Lexington Ave, New York, NY",net,8/14/2026,10:36,11:07,2026-08-14 10:36:00,2026-08-14 11:07:00,2026-08-14 10:36:00,40.799598,-73.9407842,KNYC0
Lydia,"1665 Park Ave, New York, NY",net,8/14/2026,13:00,13:40,2026-08-14 13:00:00,2026-08-14 13:40:00,2026-08-14 13:00:00,40.8001382,-73.9425066,KNYC0
Gallo,"1891 Lexington Ave, New York, NY",net,8/14/2026,13:56,14:30,2026-08-14 13:56:00,2026-08-14 14:30:00,2026-08-14 13:56:00,40.799598,-73.9407842,KNYC0
Peaceful,"52 E 117th St, New York, NY",net,8/14/2026,14:33,15:04,2026-08-14 14:33:00,2026-08-14 15:04:00,2026-08-14 14:33:00,40.800251,-73.9436015,KNYC0
Batey,"504 E 178th St, Bronx, NY",bowl,8/16/2026,7:51,9:12,2026-08-16 07:51:00,2026-08-16 09:12:00,2026-08-15 07:51:00,40.8476714,-73.8954192,72503
Oasis,"1981 Lafontaine Ave, Bronx, NY",bowl,8/16/2026,8:11,9:23,2026-08-16 08:11:00,2026-08-16 09:23:00,2026-08-15 08:11:00,40.8470844,-73.8941019,72503
Happiness,"2160 Prospect Avenue, Bronx, NY",bowl,8/16/2026,8:43,9:48,2026-08-16 08:43:00,2026-08-16 09:48:00,2026-08-15 08:43:00,40.8486864,-73.8852019,72503
Hornaday,"851 Hornaday Pl, Bronx, NY",bowl,8/16/2026,9:05,10:02,2026-08-16 09:05:00,2026-08-16 10:02:00,2026-08-15 09:05:00,40.8470962,-73.8824615,72503
Krystal,"2093 Vyse Ave, Bronx, NY",bowl,8/16/2026,9:32,10:17,2026-08-16 09:32:00,2026-08-16 10:17:00,2026-08-15 09:32:00,40.8437175,-73.8807639,72503
River,"1086 E 180th St, Bronx, NY",bowl,8/16/2026,9:57,10:36,2026-08-16 09:57:00,2026-08-16 10:36:00,2026-08-15 09:57:00,40.8423971,-73.8777339,72503
Gallo,"1891 Lexington Ave, New York, NY",bowl,8/16/2026,10:48,11:22,2026-08-16 10:48:00,2026-08-16 11:22:00,2026-08-15 10:48:00,40.799598,-73.9407842,KNYC0
Lydia,"1665 Park Ave, New York, NY",bowl,8/16/2026,11:12,11:51,2026-08-16 11:12:00,2026-08-16 11:51:00,2026-08-15 11:12:00,40.8001382,-73.9425066,KNYC0
Peaceful,"52 E 117th St, New York, NY",bowl,8/16/2026,11:30,12:15,2026-08-16 11:30:00,2026-08-16 12:15:00,2026-08-15 11:30:00,40.800251,-73.9436015,KNYC0
ELG,"237 W 111th St, New York, NY",bowl,8/15/2026,8:30,12:01,2026-08-15 08:30:00,2026-08-15 12:01:00,2026-08-14 08:30:00,40.8005601,-73.9558827,KNYC0
Luigi,"227 W 115th St, New York, NY",bowl,8/16/2026,12:22,12:38,2026-08-16 12:22:00,2026-08-16 12:38:00,2026-08-15 12:22:00,40.8029542,-73.9537925,KNYC0
Carrie,"145 St. Nicholas Ave, New York, NY",bowl,8/16/2026,12:39,12:59,2026-08-16 12:39:00,2026-08-16 12:59:00,2026-08-15 12:39:00,40.7050285,-73.9170309,KJRB0
Clayton,"303 W 126th St, New York, NY",bowl,8/16/2026,13:09,13:20,2026-08-16 13:09:00,2026-08-16 13:20:00,2026-08-15 13:09:00,40.810995,-73.9508173,KNYC0
West123,"116 W 123rd St, New York, NY",bowl,8/16/2026,13:38,13:38,2026-08-16 13:38:00,2026-08-16 13:38:00,2026-08-15 13:38:00,40.8066332,-73.9470505,KNYC0
Luigi,"227 W 115th St, New York, NY",net,8/19/2026,9:28,10:03,2026-08-19 09:28:00,2026-08-19 10:03:00,2026-08-19 09:28:00,40.8029542,-73.9537925,KNYC0
Clayton,"303 W 126th St, New York, NY",net,8/19/2026,10:25,11:01,2026-08-19 10:25:00,2026-08-19 11:01:00,2026-08-19 10:25:00,40.810995,-73.9508173,KNYC0
ELG,"237 W 111th St, New York, NY",net,8/19/2026,11:28,12:02,2026-08-19 11:28:00,2026-08-19 12:02:00,2026-08-19 11:28:00,40.8005601,-73.9558827,KNYC0
Luigi,"227 W 115th St, New York, NY",net,8/19/2026,13:35,14:07,2026-08-19 13:35:00,2026-08-19 14:07:00,2026-08-19 13:35:00,40.8029542,-73.9537925,KNYC0
Clayton,"303 W 126th St, New York, NY",net,8/19/2026,15:00,15:36,2026-08-19 15:00:00,2026-08-19 15:36:00,2026-08-19 15:00:00,40.810995,-73.9508173,KNYC0
ELG,"237 W 111th St, New York, NY",net,8/19/2026,16:05,16:40,2026-08-19 16:05:00,2026-08-19 16:40:00,2026-08-19 16:05:00,40.8005601,-73.9558827,KNYC0
West123,"116 W 123rd St, New York, NY",net,8/20/2026,9:10,9:50,2026-08-20 09:10:00,2026-08-20 09:50:00,2026-08-20 09:10:00,40.8066332,-73.9470505,KNYC0
West123,"116 W 123rd St, New York, NY",net,8/20/2026,12:36,13:15,2026-08-20 12:36:00,2026-08-20 13:15:00,2026-08-20 12:36:00,40.8066332,-73.9470505,KNYC0
