mean_temp,mean_rhum,max_wspd,total_prcp
23.9,62.0,3.0,0.0
24.4,62.0,4.0,0.0
26.7,52.0,6.0,0.0
29.2,46.0,8.0,0.0
29.4,48.5,7.0,0.0
29.4,51.0,7.0,0.0
23.9,83.0,6.0,0.0
27.8,63.0,13.0,0.0
24.4,79.0,7.0,0.0
26.1,69.0,11.0,0.0
29.4,61.0,14.0,0.0
23.3,64.0,7.0,0.0
23.6,60.5,8.0,0.0
25.8,48.5,7.0,0.0
26.6,45.5,8.0,0.0
22.2,68.0,4.0,0.0
22.2,68.0,3.0,0.0
22.2,68.0,3.0,0.0
25.8,54.5,0.0,0.0
26.7,51.0,0.0,0.0
27.8,47.0,4.0,0.0
24.5,57.8,10.0,0.0
24.5,57.8,10.0,0.0
28.8,69.6,11.0,1.7
24.5,58.5,10.0,0.0
24.6,58.0,10.0,0.0
24.5,58.9,10.0,0.0
24.2,59.1,9.0,0.0
24.1,59.7,9.0,0.0
24.3,59.6,9.0,0.0
24.4,62.4,8.3,0.1
24.3,59.8,9.0,0.0
25.7,73.1,8.0,0.0
24.4,59.8,9.0,0.0
24.5,60.1,8.0,0.0
20.8,71.5,0.0,0.0
22.0,69.5,0.0,0.0
23.6,62.0,0.0,0.0
27.2,45.0,0.0,0.0
28.6,46.0,6.8,0.0
28.8,46.0,6.8,0.0
22.2,79.0,0.0,0.0
27.2,61.0,0.0,0.0
