mean_temp,mean_rhum,max_wspd,total_prcp
22.5,72.0,5.0,0.0
24.2,71.0,9.0,0.0
25.8,67.5,9.0,0.0
29.2,56.0,8.0,0.0
30.0,53.0,8.0,0.0
32.2,45.0,11.0,0.0
19.0,52.4,13.0,0.0
18.8,52.8,13.0,0.0
18.8,52.7,13.0,0.0
18.7,53.0,13.0,0.0
18.7,53.0,13.0,0.0
18.7,53.0,13.0,0.0
18.7,53.4,16.0,0.0
18.6,53.3,16.0,0.0
18.6,53.3,16.0,0.0
23.2,79.1,10.0,2.2
18.4,52.5,16.0,0.0
20.2,44.9,11.0,0.0
20.9,41.6,11.0,0.0
15.0,69.0,5.0,0.0
20.0,42.5,6.0,0.0
22.0,34.5,3.0,0.0
23.4,32.5,11.0,0.0
21.1,63.0,6.0,0.0
19.8,50.5,0.0,0.0
21.4,46.5,0.0,0.0
23.0,65.0,11.0,0.0
24.8,41.0,5.0,0.0
27.2,28.0,5.0,0.0
17.5,62.5,10.0,0.0
18.0,59.0,10.0,0.0
18.8,53.5,10.0,0.0
20.6,45.0,10.8,0.0
20.8,43.0,10.8,0.0
22.0,39.5,7.0,0.0
18.9,73.0,9.0,0.0
19.2,70.5,9.0,0.0
21.7,59.0,3.0,0.0
23.6,49.0,10.0,0.0
24.8,41.0,14.0,0.0
25.6,36.0,14.0,0.0
20.0,69.0,3.0,0.0
20.0,70.0,4.0,0.0
22.8,90.0,0.0,0.1
23.3,56.0,7.0,0.0
25.2,46.5,9.0,0.0
27.2,67.0,5.0,0.0
21.4,90.0,8.0,0.2
21.4,90.0,8.0,0.2
21.3,90.4,8.0,0.2
21.3,90.4,8.0,0.2
21.3,90.4,8.0,0.2
21.3,91.0,8.0,0.2
21.3,91.0,8.0,0.2
22.2,86.6,6.0,1.3
22.1,81.5,10.0,0.0
22.2,81.8,7.0,0.0
22.2,81.8,7.0,0.0
22.1,82.5,7.0,0.0
28.2,72.6,19.0,0.2
22.3,82.2,8.0,0.0
22.5,81.2,8.0,0.0
23.0,72.0,6.0,0.0
23.6,71.0,6.0,0.0
24.4,68.5,8.0,0.0
27.2,60.0,6.1,0.0
28.9,57.0,4.0,0.0
30.0,51.5,12.2,0.2
18.3,87.0,3.0,0.0
18.9,87.0,3.0,0.0
19.8,82.5,6.0,0.0
21.2,75.5,6.0,0.0
22.2,72.0,5.0,0.0
24.4,64.0,0.0,0.0
26.6,59.0,3.0,0.0
26.6,59.0,3.0,0.0
24.4,75.0,5.0,0.0
28.3,67.0,12.0,0.0
27.8,61.7,12.0,0.0
27.4,60.0,12.0,0.0
